Transaction_ID,Transaction_Date,Amount,Account_type,Category,Business_unit,Region,Customer_ID,Vendor_ID,Valid_Status,Transaction_Type,Description
TRX100000,2023-09-03,-66631.73,Expense,Supplies,Online,West,,VEND1053,Valid,Vendor Transaction,Begin catch control dark practice.
TRX100001,2023-09-13,-54305.58,Expense,Utilities,Enterprise,East,,VEND1059,Valid,Vendor Transaction,Style guy soldier boy energy above.
TRX100002,2023-06-27,146074.92,Revenue,Subscription,Online,East,CUST10122,,Valid,Customer Transaction,Skill surface drug personal western.
TRX100003,2023-06-25,212157.95,Revenue,Service,Enterprise,West,CUST10027,,Valid,Customer Transaction,Develop many it I rich floor decide.
TRX100004,2023-11-15,-35944.73,Expense,Rent,Enterprise,North,,VEND1046,Valid,Vendor Transaction,Choose thought teach never.
TRX100005,2023-03-04,90953.83,Revenue,Service,Retail,South,CUST10332,,Valid,Customer Transaction,Dinner present unit lay course.
TRX100006,2023-07-08,73251.21,Revenue,Service,Online,West,CUST10270,,Valid,Customer Transaction,Data ago arm care hundred represent wonder.
TRX100007,2022-03-24,-21064.02,Expense,Marketing,Online,East,,VEND1115,Valid,Vendor Transaction,Sign such remember range ability.
TRX100008,2022-08-02,136347.73,Revenue,Product,Retail,West,CUST10168,,Valid,Customer Transaction,Poor similar feeling close require probably rather thought.
TRX100009,2023-06-17,159482,Revenue,Product,Retail,West,CUST10151,,Valid,Customer Transaction,Cause worker statement office able foot.
TRX100010,2022-07-07,15882.36,Equity,Equity,Retail,South,,,Review,Vendor Transaction,Ready enter quite attack resource list commercial.
TRX100011,2022-08-08,217487.82,Revenue,Product,Online,North,CUST10353,,Valid,Customer Transaction,Before green media feeling Mr half trouble.
TRX100012,2023-03-16,-8913.27,Expense,Other,Enterprise,East,,VEND1067,Valid,Vendor Transaction,Rise discover visit security end buy medical think.
TRX100013,2023-12-10,139523.96,Revenue,Service,Retail,North,CUST10243,,Valid,Customer Transaction,Military line exist little education family world.
TRX100014,2023-07-18,165589.04,Revenue,Service,Online,East,CUST10357,,Valid,Customer Transaction,Artist place loss morning.
TRX100015,2023-01-26,262541.15,Revenue,Service,Retail,West,CUST10045,,Valid,Customer Transaction,Game evidence support skill pretty.
TRX100016,2023-06-10,152113.39,Revenue,Service,Online,South,CUST10120,,Valid,Customer Transaction,Bad author generation decade increase.
TRX100017,2022-06-14,107495.7,Revenue,Service,Online,North,CUST10228,,Valid,Customer Transaction,Left own eat wife tell with.
TRX100018,2023-09-21,83127.62,Revenue,Subscription,Online,West,CUST10333,,Valid,Customer Transaction,Individual first region.
TRX100019,2022-08-20,145634.47,Revenue,Service,Enterprise,West,CUST10302,,Valid,Customer Transaction,Rise war shake doctor.
TRX100020,2023-05-16,167566.97,Revenue,Service,Retail,North,CUST10042,,Valid,Customer Transaction,Before expect allow job one set.
TRX100021,2022-06-14,-2000,Expense,Rent,Online,West,,VEND1022,Valid,Vendor Transaction,Side official leave seem financial.
TRX100022,2023-03-13,203374.65,Revenue,Service,Online,South,CUST10021,,Valid,Customer Transaction,Must require bit relate Congress local improve organization.
TRX100023,2023-09-20,171433.19,Revenue,Product,Enterprise,West,CUST10218,,Valid,Customer Transaction,Identify loss across fact government sea upon.
TRX100024,2022-10-16,-60198.87,Expense,Payroll,Enterprise,North,,VEND1058,Valid,Vendor Transaction,Big fine cause full reality heart condition another.
